player_id;team_id;first_name;last_name;birthdate;position;shirt_number;foot;height_cm;weight_kg;nationality;is_active;external_id
1021;15;;Adam;;;;;;;Deutschland;1;02TQ394I4C000000VUM1D52MVULKFCIC
1019;15;Adrian;Beck;;;;;;;Deutschland;1;02IM3QOL2O000000VUM1DNOMVUJAH38H
1511;15;Hennes;Behrens;;;;;;;Deutschland;1;02QIEP6STK000000VUM1D51BVU51I0V1
1005;15;Marnon;Busch;;;;;;;Deutschland;1;01MH0AKQKG000003VV0AG13EVSFDFGE6
1537;15;Christian Joe;Conteh;;;;;;;Deutschland;1;0274JPK4T0000000VS541L4HVUSJU1JA
1059;15;Sirlord;Conteh;;;;;;;Deutschland;1;027MKILL9K000000VS541L4HVVPHH86G
736;28;Eren Sami;Dinkci;;;;;;;Deutschland;1;029CNBFJKG000000VS541L4KVVU2EPUM
1513;15;Eren Sami;Dinkci;;;;;;;Deutschland;1;02VQUT3SFC00000NVS5489BVVTB22SJC
1014;15;Niklas;Dorsch;;;;;;;Deutschland;1;022052VAH4000000VS541L4IVV1IV37M
1460;15;Frank;Feller;;;;;;;Deutschland;1;0276B6DO7G000000VS541L4JVUQD1GKU
1045;15;Jonas;Föhrenbach;;;;;;;Deutschland;1;02U6PS441O000004VS5489BVVVIAE6QO
1008;15;Benedikt;Gimber;;;;;;;Deutschland;1;02205313TK000000VS541L4IVV1IV37M
1017;15;Mathias;Honsak;;;;;;;Deutschland;1;024AFSF8K8000000VS541L4KVS520JUA
1013;15;Arijon;Ibrahimovic;;;;;;;Deutschland;1;02GTPQ90DO000000VUM1DNO7VTCJP93K
1006;15;;Jan;;;;;;;Deutschland;1;02B79F3MNK000000VUM1DNPBVTFLMEB2
1012;15;;Jonas;;;;;;;Deutschland;1;01MH0AKQI4000003VV0AG13EVSFDFGE6
1022;15;Mikkel;Kaufmann;;;;;;;Deutschland;1;02F7N1EJR4000000VUM1DNOKVU1MPAAC
1197;15;Thomas;Keller;;;;;;;Deutschland;1;026TRG7U0O000000VS541L4JVVA7LFS8
1018;15;Luca;Kerber;;;;;;;Deutschland;1;02D8KNIHDC000000VUM1DNOCVU6HL6CL
1015;15;;Kevin;;;;;;;Deutschland;1;01MH0AKRAS000004VV0AG13EVSFDFGE6
1048;15;Adam;Kölle;;;;;;;Deutschland;1;02U6PS441O00000IVS5489BVVVIAE6QO
1060;15;;Leart;;;;;;;Deutschland;1;01MH0AKR3G000005VV0AG13EVSFDFGE6
1009;15;Patrick;Mainka;;;;;;;Deutschland;1;023FEMTPVK000000VS541L4IVU8DHE08
1046;15;Kevin;Müller;;;;;;;Deutschland;1;02U6PS441O000000VS5489BVVVIAE6QO
1016;15;Julian;Niehues;;;;;;;Deutschland;1;02F0UO26F4000000VUM1DNO5VSF2VV8Q
1020;15;;Omar Haktab;;;;;;;Deutschland;1;02BTQECU7G000000VUM1DNPLVV03HLSN
1062;15;Leart;Paçarada;;;;;;;Deutschland;1;02U91V0J1800000MVS5489C0VT6ICN32
1232;15;Marvin;Pieringer;;;;;;;Deutschland;1;020PFNTON0000000VS541L4GVUUL6M9G
1465;15;Bernhard;Raab;;;;;;;Deutschland;1;
1004;15;Diant;Ramaj;;;;;;;Deutschland;1;0269J1Q528000000VS541L4IVTJO4E99
1155;15;Nick;Rothweiler;;;;;;;Deutschland;1;029TMMCFDO000000VUM1DNP3VSCHNKQ7
1138;15;Stefan;Schimmer;;;;;;;Deutschland;1;0220532AM8000000VS541L4IVV1IV37M
1044;15;Jan;Schöppner;;;;;;;Deutschland;1;02U6PS441O00000AVS5489BVVVIAE6QO
1007;15;Tim;Siersleben;;;;;;;Deutschland;1;0276RSORRC000000VS541L4GVSL0LA9M
1302;31;Leonidas;Stergiou;;;;;;;Deutschland;1;02MT9MG5VS000000VUM1DNPDVUDTQGNN
1495;15;Leonidas;Stergiou;;;;;;;Deutschland;1;02VM3HKTSO000001VS5489C0VSFNH13G
1047;15;Omar Haktab;Traoré;;;;;;;Deutschland;1;02U6PS441O000008VS5489BVVVIAE6QO
1548;15;Paul;Tschernuth;;;;;;;Deutschland;1;02F0UO252S000000VUM1DNO5VSF2VV8Q
1023;15;Yannik;Wagner;;;;;;;Deutschland;1;02U33LL4M8000000VUM1D53FVTFGDI21
1191;15;Tobias;Weigel;;;;;;;Deutschland;1;02UISBHREG000000VUM1D558VUQBGGC0
1010;15;Leonardo;Weschenfelder Scienza;;;;;;;Deutschland;1;02DASQMJQS000000VUM1DNP1VUFH6FJI
1011;15;Budu;Zivzivadze;;;;;;;Deutschland;1;02KRV9G158000000VUM1DNOIVSVCVFF2
